bayId,occupiedRate
3112,0
3115,0
3117,0
3118,0
3122,0
3133,0
3135,1
3137,0
3138,1
3139,0
3140,0
3141,0
3143,0
3144,0
3145,0
3148,1
3149,0
3150,0
3151,1
3156,0
3157,0
3161,0
3163,0
3173,0
3176,0
3180,0
3181,0
3182,0
3203,0
3210,0
3212,1
3213,0
3215,0
3216,0
3222,0
3224,0
3225,0
3226,0
3230,0
3231,0
3270,0
3281,0
3304,0
3308,0
3310,0
3312,1
3316,0
3318,0
3320,0
3322,0
3328,0
3330,0
3334,1
3343,0
3345,0
3347,0
3349,0
3351,0
3352,0
3354,0
3355,0
3359,0
3366,0
3368,0
3372,0
3377,0
3383,0
3384,0
3387,0
3390,0
3395,0
3396,0
3398,0
3400,0
3401,0
3402,0
3403,0
3404,0
3405,0
3410,0
3414,0
3416,0
3418,0
3470,0
3472,0
3473,0
3475,0
3476,0
3477,0
3489,0
3490,0
3491,0
3503,0
3506,0
3508,0
3509,0
3514,0
3515,0
3526,0
3527,0
3528,0
3529,1
3530,0
3531,0
3534,0
3535,0
3542,0
3543,0
3546,0
3548,0
3552,0
3553,0
3555,0
3556,0
3558,0
3560,0
3561,0
3564,0
3565,0
3567,0
3568,0
3570,0
3574,0
3575,0
3580,0
3583,1
3592,0
3594,0
3600,0
3604,0
3606,0
3615,1
3617,0
3624,0
3627,0
3628,0
3629,0
3633,0
3635,0
3636,0
3638,0
3642,0
3661,0
3663,0
3665,0
3667,0
3669,0
3671,0
3673,0
3675,0
3676,0
3678,0
3680,0
3690,0
3692,0
3693,0
3695,0
3696,0
3697,0
3700,0
3707,0
3726,0
3727,0
3730,0
3758,0
3760,0
3761,0
3764,0
3767,0
3771,0
3772,0
3799,0
3804,0
3815,0
3822,1
3824,1
3846,0
3849,0
3876,0
3879,0
3890,0
3894,0
3896,0
3897,0
3945,0
3948,0
3950,0
3951,0
3954,0
3962,0
3963,0
3965,0
3966,0
3967,0
3968,0
3969,0
3970,0
3974,0
3978,0
3984,0
3986,0
3995,0
3997,0
4000,0
4002,0
4003,0
4010,0
4015,0
4020,0
4023,0
4027,0
4033,0
4044,0
4062,0
4064,0
4066,0
4086,0
4088,0
4101,0
4102,0
4112,0
4118,0
4122,0
4128,0
4173,0
4174,0
4176,0
4177,0
4180,0
4181,0
4182,0
4186,0
4188,0
4189,0
4191,0
4192,0
4194,0
4197,0
4199,0
4200,0
4205,0
4206,0
4208,0
4212,0
4213,0
4216,1
4217,0
4218,0
4221,0
4222,0
4226,1
4228,0
4236,0
4237,1
4238,0
4239,0
4240,0
4242,0
4247,0
4250,0
4253,0
4270,0
4282,0
4288,0
4291,0
4309,0
4325,0
4329,1
4333,0
4337,0
4338,0
4339,0
4341,0
4346,0
4356,0
4358,0
4383,0
4385,0
4388,0
4389,0
4390,0
4391,0
4405,0
4418,0
4440,0
4447,0
4451,0
4454,0
4532,0
4555,0
4559,0
4560,0
4561,0
4562,0
4563,0
4565,0
4567,0
4568,0
4570,0
4573,0
4574,0
4575,0
4576,0
4577,0
4578,0
4579,0
4689,0
4690,0
4691,0
4692,0
4693,0
4694,0
4695,0
4696,0
4697,0
4698,0
4699,0
4701,0
4702,0
4703,1
4704,0
4705,1
4706,0
4710,0
4712,0
4714,0
4715,0
4716,0
4717,0
4718,0
4719,0
4721,0
4723,0
4725,0
4727,0
4729,0
4731,0
4735,0
4739,0
4745,0
4746,0
4748,0
4749,0
4750,0
4751,0
4752,0
4753,0
4773,0
4775,0
4777,0
4798,0
4799,0
4801,0
4802,0
4803,0
4804,0
4806,0
4807,0
4808,0
4809,0
4811,0
4817,0
4818,0
4819,0
4820,0
4821,0
4822,0
4823,0
4824,0
4825,0
4832,0
4833,0
4839,0
4841,0
4846,0
4853,0
4855,0
4867,0
4876,0
4877,0
4878,0
4879,0
4881,0
4883,0
4885,0
4887,0
4905,0
4913,0
4917,0
4919,0
4921,0
4933,0
4944,0
4946,0
4948,0
4956,0
4958,0
4960,0
4972,0
4976,1
4985,0
4987,0
4999,1
5005,0
5007,0
5011,0
5013,0
5017,0
5019,0
5021,0
5026,0
5040,0
5157,0
5158,0
5159,1
5160,0
5161,0
5162,1
5163,1
5165,0
5166,0
5179,1
5258,0
5259,0
5261,0
5262,0
5264,0
5268,0
5269,0
5270,0
5271,0
5272,0
5273,0
5274,0
5283,0
5290,0
5300,0
5308,0
5311,0
5312,0
5316,0
5318,0
5323,0
5326,0
5345,0
5346,0
5347,0
5348,0
5349,0
5352,0
