bayId,occupiedRate
1726,0
1727,0
1728,0
1729,0
1730,1
1731,0
1732,0
1733,0
1734,0
1735,0
1737,0
1739,0
1740,0
1741,0
1745,0
1747,0
1753,0
1755,0
1757,0
1759,0
1761,0
1762,0
1763,0
1764,0
1765,0
1767,0
1770,0
1771,0
1772,0
1801,0
1832,0
1834,0
1836,0.7816901408450704
1843,0
1845,0
1847,0
1848,0
1849,0
1850,0
1851,0
1855,0
1856,0
1857,0
1861,0
1862,0
1863,0
1864,0
1866,0
1867,0
1872,0
1873,0
1875,0
1890,0
1891,0
1894,0
1895,0
1896,0
1898,0
1899,1
1900,0
1901,0
1919,0
1920,0
1921,0
1922,0
1923,0
1952,0
1978,0
1979,0
1981,0
1982,0
1986,0
1988,0
1990,0
1992,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2002,0
2003,0
2004,0
2016,0
2017,1
2018,0
2019,0
2020,0
2021,0
2022,1
2023,0
2028,0
2032,1
2037,0
2038,0
2043,0
2047,0
2059,0
2063,0
2074,1
2080,0
2127,0
2128,0
2129,0
2130,0
2191,1
2195,1
2200,0
2229,0
2230,0
2234,1
2288,0
2297,0
2298,0
2299,0
2301,0
2302,0
2306,0
2313,0
2314,0
2316,0
2318,1
2321,0
2322,0
2323,0
2324,0
2326,0
2328,0
2341,0
2345,0
2346,0
2347,0
2349,0
2350,0
2352,0
2354,0
2355,0
2356,0
2358,0
2359,0
2362,0
2363,0
2364,0
2365,0
2367,0
2369,0
2371,1
2373,0
2374,0
2375,0
2376,0
2377,0
2380,0
2381,0
2393,0
2396,0
2411,0
2413,0
2414,1
2417,0
2418,0
2421,0
2432,0
2433,0
2437,0
2445,0
2448,0
2449,0
2450,0
2451,0
2455,0
2459,0
2474,0
2475,0
2477,0
2481,0
2482,0
2483,0
2484,0
2490,0
2491,0
2492,0
2493,0
2494,0
2495,0
2496,0
2497,0
2501,0
2504,0
2506,0
2510,0
2512,0
2518,0
2524,0
2525,0
2526,0
2531,0
2532,0
2536,0
2537,0
2538,0
2540,0
2541,0
2545,1
2546,1
2548,0
2551,0
2553,0
2554,0
2555,0
2556,0
2558,1
2561,0
2562,0
2563,0
2564,0
2565,0
2566,0
2567,0
2569,0
2570,0
2571,0
2572,0
2573,1
2582,1
2583,0
2585,0
2586,1
2587,0
2588,0
2589,0
2591,0
2592,0
2605,0
2606,0
2627,0
2628,0
2630,0
2642,0
2644,0
2648,0
2651,0
2652,0
2653,0
2655,0
2657,0
2658,0
2659,0
2660,0
2661,0
